Date,Dividends,Ticker
2023-09-08,0.291,GOOY
2023-10-06,0.39,GOOY
2023-11-08,0.391,GOOY
2020-07-01,0.494,JEPI
2020-08-03,0.29,JEPI
2020-09-01,0.453,JEPI
2020-10-01,0.435,JEPI
2020-11-02,0.515,JEPI
2020-12-01,0.5,JEPI
2020-12-30,0.543,JEPI
2021-02-01,0.263,JEPI
2021-03-01,0.321,JEPI
2021-04-01,0.348,JEPI
2021-05-03,0.374,JEPI
2021-06-01,0.314,JEPI
2021-07-01,0.395,JEPI
2021-08-02,0.257,JEPI
2021-09-01,0.339,JEPI
2021-10-01,0.343,JEPI
2021-11-01,0.366,JEPI
2021-12-01,0.383,JEPI
2021-12-30,0.459,JEPI
2022-02-01,0.382,JEPI
2022-03-01,0.462,JEPI
2022-04-01,0.588,JEPI
2022-05-02,0.468,JEPI
2022-06-01,0.516,JEPI
2022-07-01,0.621,JEPI
2022-08-01,0.495,JEPI
2022-09-01,0.559,JEPI
2022-10-03,0.481,JEPI
2022-11-01,0.606,JEPI
2022-12-01,0.61,JEPI
2022-12-29,0.573,JEPI
2023-02-01,0.444,JEPI
2023-03-01,0.411,JEPI
2023-04-03,0.445,JEPI
2023-06-01,0.365,JEPI
2023-09-01,0.338,JEPI
2023-11-01,0.359,JEPI
2023-01-10,0.745,OARK
2023-02-08,1.09,OARK
2023-03-08,0.769,OARK
2023-04-06,0.51,OARK
2023-05-05,0.365,OARK
2023-06-07,0.51,OARK
2023-07-07,0.555,OARK
2023-08-04,0.684,OARK
2023-09-08,0.364,OARK
2023-10-06,0.335,OARK
2023-11-08,0.384,OARK
2023-01-10,0.999,TSLY
2023-02-08,0.903,TSLY
2023-03-08,0.902,TSLY
2023-04-06,0.829,TSLY
2023-05-05,0.44,TSLY
2023-06-07,0.803,TSLY
2023-07-07,1.066,TSLY
2023-08-04,0.83,TSLY
2023-09-08,0.585,TSLY
2023-10-06,0.577,TSLY
2023-11-08,0.585,TSLY
2023-06-07,0.746,NVDY
2023-07-07,0.957,NVDY
2023-08-04,0.814,NVDY
2023-09-08,0.93,NVDY
2023-10-06,0.677,NVDY
2023-11-08,0.415,NVDY
2023-10-06,0.28,MSFO
2023-11-08,0.377,MSFO
2023-06-07,0.288,APLY
2023-07-07,0.633,APLY
2023-08-04,0.556,APLY
2023-09-08,0.226,APLY
2023-10-06,0.478,APLY
2023-11-08,0.173,APLY
