Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2023-08-01,20.299999,20.77,19.780001,20.76,19.664444,1132300,GOOY
2023-09-01,20.83,20.83,19.299999,19.790001,18.745636,822000,GOOY
2023-10-01,19.91,20.75,18.160999,18.666,17.935171,944100,GOOY
2023-11-01,18.77,19.23,18.73,19.08,18.690634,462600,GOOY
2023-11-17,19.08,19.129101,19.010099,19.08,19.08,27165,GOOY
2020-06-01,51.299999,52.080002,49.5,50.936001,38.248821,167800,JEPI
2020-07-01,50.650002,55.666,50.52,53.220001,39.963932,1119200,JEPI
2020-08-01,53.25,54.249001,52.970001,54.189999,41.090836,623800,JEPI
2020-09-01,53.75,53.990002,51.549999,53.330002,40.660278,743200,JEPI
2020-10-01,53.119999,54.519001,51.700001,52.139,40.087341,674700,JEPI
2020-11-01,52.43,55.919998,52.0,55.369999,42.921604,1009800,JEPI
2020-12-01,55.290001,56.139999,54.59,55.75,43.647289,956100,JEPI
2021-01-01,55.740002,56.75,54.669998,54.860001,43.76696,4195200,JEPI
2021-02-01,55.200001,56.490002,54.709999,54.970001,43.854717,4489600,JEPI
2021-03-01,55.389999,58.389999,53.959999,58.119999,46.591118,9085000,JEPI
2021-04-01,58.02,59.380001,57.599998,59.27,47.79208,7348100,JEPI
2021-05-01,59.27,60.290001,58.700001,59.93,48.61536,11112300,JEPI
2021-06-01,59.889999,60.740002,59.18,60.57,49.446541,9525100,JEPI
2021-07-01,60.349998,61.830002,60.220001,61.720001,50.650734,17532300,JEPI
2021-08-01,61.720001,62.769001,61.369999,62.529999,51.652317,18516500,JEPI
2021-09-01,62.32,62.467999,59.59,59.610001,49.446163,19699900,JEPI
2021-10-01,59.560001,62.169998,58.93,61.98,51.692307,18447500,JEPI
2021-11-01,61.700001,62.209999,60.459999,60.57,50.808701,18868900,JEPI
2021-12-01,60.869999,63.674,59.66,63.189999,53.321339,29113000,JEPI
2022-01-01,63.200001,63.389999,58.380001,60.990002,52.168869,35075600,JEPI
2022-02-01,60.75,61.59,57.080002,59.860001,51.202309,35281700,JEPI
2022-03-01,59.349998,61.900002,58.055,61.400002,52.85059,38599600,JEPI
2022-04-01,61.0,62.599998,58.529999,58.580002,50.815437,49006700,JEPI
2022-05-01,58.189999,59.384998,54.900002,58.07,50.860107,57952200,JEPI
2022-06-01,57.68,58.049999,52.540001,55.450001,48.956516,43105100,JEPI
2022-07-01,54.77,57.490002,54.200001,57.43,51.159241,50582200,JEPI
2022-08-01,56.720001,57.889999,55.240002,55.259998,49.783726,75524500,JEPI
2022-09-01,54.509998,56.560001,51.16,51.23,46.554359,70668100,JEPI
2022-10-01,51.150002,54.779999,49.919998,54.57,50.096291,69362000,JEPI
2022-11-01,54.099998,56.779999,52.98,56.779999,52.619152,69970500,JEPI
2022-12-01,56.110001,56.919998,54.060001,54.490002,51.064034,79923600,JEPI
2023-01-01,54.720001,55.889999,54.040001,55.470001,53.102695,103774000,JEPI
2023-02-01,55.0,55.18,53.52,53.790001,51.494392,98138300,JEPI
2023-03-01,53.314999,54.610001,51.790001,54.599998,52.691586,108506400,JEPI
2023-04-01,54.18,55.400002,54.040001,55.400002,53.875275,79179700,JEPI
2023-05-01,54.970001,55.23,53.654999,54.02,52.964928,106573600,JEPI
2023-06-01,53.779999,55.360001,53.580002,55.330002,54.249348,96710700,JEPI
2023-07-01,54.950001,55.970001,54.540001,55.880001,55.161312,92091900,JEPI
2023-08-01,55.5,55.869999,54.150002,55.59,54.875042,89482400,JEPI
2023-09-01,55.470001,55.619999,53.169998,53.560001,52.871155,74666100,JEPI
2023-10-01,53.134998,54.220001,51.380001,52.619999,52.260998,86133300,JEPI
2023-11-01,52.34,54.32,52.314999,54.27,53.899742,44466200,JEPI
2022-12-01,21.07,21.264,17.316,18.197001,12.33516,6800,OARK
2023-01-01,17.76,19.759001,17.76,19.138,12.973032,11600,OARK
2023-02-01,19.125999,20.690001,16.309999,17.056,12.042212,211900,OARK
2023-03-01,17.062,17.52,14.51,16.58,12.380362,762300,OARK
2023-04-01,16.59,16.59,14.41,14.78,11.561538,905900,OARK
2023-05-01,14.82,16.304001,14.39,16.24,13.126238,1027200,OARK
2023-06-01,16.24,16.99,15.917,16.84,13.956082,1779900,OARK
2023-07-01,17.030001,17.65,16.01,17.65,15.091005,2958800,OARK
2023-08-01,17.549999,17.57,13.59,14.9,13.179837,4749300,OARK
2023-09-01,14.96,15.07,13.04,13.59,12.538663,3851400,OARK
2023-10-01,13.61,13.62,11.61,12.05,11.3943,2928500,OARK
2023-11-01,12.15,12.865,11.89,12.62,12.242579,1526000,OARK
2022-12-01,21.559999,21.763,13.316,14.626,8.34482,5100,TSLY
2023-01-01,13.395,16.360001,13.3,15.631,8.91822,68200,TSLY
2023-02-01,15.77,18.120001,15.701,17.716999,10.847693,494800,TSLY
2023-03-01,17.92,17.940001,14.1,17.25,11.154175,1856200,TSLY
2023-04-01,17.0,17.0,12.53,13.37,9.140879,4634600,TSLY
2023-05-01,13.47,15.46,13.1,15.45,11.149816,5737800,TSLY
2023-06-01,15.59,17.6,15.33,17.15,12.796529,11759500,TSLY
2023-07-01,17.99,18.48,16.25,17.049999,13.387125,24972400,TSLY
2023-08-01,17.049999,17.049999,13.165,14.62,12.19127,53319100,TSLY
2023-09-01,14.67,14.83,12.855,13.68,12.005921,59154300,TSLY
2023-10-01,13.56,14.38,10.74,11.11,10.154818,79336300,TSLY
2023-11-01,11.3,12.36,10.945,11.3,10.762124,52906200,TSLY
2023-06-01,23.209999,24.16,22.1,23.594999,19.329655,1162700,NVDY
2023-07-01,23.780001,24.16,22.504999,23.889,20.212135,3157900,NVDY
2023-08-01,23.860001,24.879999,20.459999,24.82,21.884617,5130500,NVDY
2023-09-01,24.959999,24.98,20.59,21.9,20.021967,7103500,NVDY
2023-10-01,22.120001,22.697001,19.620001,20.360001,19.369312,7697800,NVDY
2023-11-01,20.469999,22.040001,20.469999,21.969999,21.548475,2975100,NVDY
2023-09-01,20.74,21.450001,19.530001,19.937,19.326838,569000,MSFO
2023-10-01,20.1,21.530001,19.745001,21.330999,20.678173,409000,MSFO
2023-11-01,21.440001,22.419001,21.440001,22.290001,21.910789,284200,MSFO
2023-05-01,20.6,23.02,20.0,21.547001,19.23983,573100,APLY
2023-06-01,21.620001,22.860001,21.212,22.802,20.360447,532100,APLY
2023-07-01,22.889999,22.889999,21.5,22.620001,20.469164,1650000,APLY
2023-08-01,22.6,22.65,19.5,20.5,19.08288,2903000,APLY
2023-09-01,20.6,20.6,18.344,18.629999,17.789499,2776700,APLY
2023-10-01,18.620001,19.110001,17.82,18.35,17.727484,1254000,APLY
2023-11-01,18.280001,19.459999,18.280001,19.43,19.254745,996100,APLY
