Date,Dividends
2020-07-01,0.494000
2020-08-03,0.290000
2020-09-01,0.453000
2020-10-01,0.435000
2020-11-02,0.515000
2020-12-01,0.500000
2020-12-30,0.543000
2021-02-01,0.263000
2021-03-01,0.321000
2021-04-01,0.348000
2021-05-03,0.374000
2021-06-01,0.314000
2021-07-01,0.395000
2021-08-02,0.257000
2021-09-01,0.339000
2021-10-01,0.343000
2021-11-01,0.366000
2021-12-01,0.383000
2021-12-30,0.459000
2022-02-01,0.382000
2022-03-01,0.462000
2022-04-01,0.588000
2022-05-02,0.468000
2022-06-01,0.516000
2022-07-01,0.621000
2022-08-01,0.495000
2022-09-01,0.559000
2022-10-03,0.481000
2022-11-01,0.606000
2022-12-01,0.610000
2022-12-29,0.573000
2023-02-01,0.444000
2023-03-01,0.411000
2023-04-03,0.445000
2023-06-01,0.365000
2023-09-01,0.338000
2023-11-01,0.359000
