Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,51.299999,52.080002,49.500000,50.936001,38.248821,167800
2020-07-01,50.650002,55.666000,50.520000,53.220001,39.963932,1119200
2020-08-01,53.250000,54.249001,52.970001,54.189999,41.090836,623800
2020-09-01,53.750000,53.990002,51.549999,53.330002,40.660278,743200
2020-10-01,53.119999,54.519001,51.700001,52.139000,40.087341,674700
2020-11-01,52.430000,55.919998,52.000000,55.369999,42.921604,1009800
2020-12-01,55.290001,56.139999,54.590000,55.750000,43.647289,956100
2021-01-01,55.740002,56.750000,54.669998,54.860001,43.766960,4195200
2021-02-01,55.200001,56.490002,54.709999,54.970001,43.854717,4489600
2021-03-01,55.389999,58.389999,53.959999,58.119999,46.591118,9085000
2021-04-01,58.020000,59.380001,57.599998,59.270000,47.792080,7348100
2021-05-01,59.270000,60.290001,58.700001,59.930000,48.615360,11112300
2021-06-01,59.889999,60.740002,59.180000,60.570000,49.446541,9525100
2021-07-01,60.349998,61.830002,60.220001,61.720001,50.650734,17532300
2021-08-01,61.720001,62.769001,61.369999,62.529999,51.652317,18516500
2021-09-01,62.320000,62.467999,59.590000,59.610001,49.446163,19699900
2021-10-01,59.560001,62.169998,58.930000,61.980000,51.692307,18447500
2021-11-01,61.700001,62.209999,60.459999,60.570000,50.808701,18868900
2021-12-01,60.869999,63.674000,59.660000,63.189999,53.321339,29113000
2022-01-01,63.200001,63.389999,58.380001,60.990002,52.168869,35075600
2022-02-01,60.750000,61.590000,57.080002,59.860001,51.202309,35281700
2022-03-01,59.349998,61.900002,58.055000,61.400002,52.850590,38599600
2022-04-01,61.000000,62.599998,58.529999,58.580002,50.815437,49006700
2022-05-01,58.189999,59.384998,54.900002,58.070000,50.860107,57952200
2022-06-01,57.680000,58.049999,52.540001,55.450001,48.956516,43105100
2022-07-01,54.770000,57.490002,54.200001,57.430000,51.159241,50582200
2022-08-01,56.720001,57.889999,55.240002,55.259998,49.783726,75524500
2022-09-01,54.509998,56.560001,51.160000,51.230000,46.554359,70668100
2022-10-01,51.150002,54.779999,49.919998,54.570000,50.096291,69362000
2022-11-01,54.099998,56.779999,52.980000,56.779999,52.619152,69970500
2022-12-01,56.110001,56.919998,54.060001,54.490002,51.064034,79923600
2023-01-01,54.720001,55.889999,54.040001,55.470001,53.102695,103774000
2023-02-01,55.000000,55.180000,53.520000,53.790001,51.494392,98138300
2023-03-01,53.314999,54.610001,51.790001,54.599998,52.691586,108506400
2023-04-01,54.180000,55.400002,54.040001,55.400002,53.875275,79179700
2023-05-01,54.970001,55.230000,53.654999,54.020000,52.964928,106573600
2023-06-01,53.779999,55.360001,53.580002,55.330002,54.249348,96710700
2023-07-01,54.950001,55.970001,54.540001,55.880001,55.161312,92091900
2023-08-01,55.500000,55.869999,54.150002,55.590000,54.875042,89482400
2023-09-01,55.470001,55.619999,53.169998,53.560001,52.871155,74666100
2023-10-01,53.134998,54.220001,51.380001,52.619999,52.260998,86133300
2023-11-01,52.340000,54.320000,52.314999,54.270000,53.899742,44466200
